,airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
23736,Indigo,Delhi,Morning,zero,Afternoon,Kolkata,Economy,2.17,22,4380
239810,Vistara,Mumbai,Night,one,Evening,Hyderabad,Business,21.17,27,45805
200960,AirAsia,Chennai,Afternoon,one,Evening,Kolkata,Economy,5.5,33,4087
274576,Air_India,Kolkata,Morning,one,Afternoon,Chennai,Business,26.25,45,55983
151123,Indigo,Kolkata,Afternoon,one,Night,Chennai,Economy,8.17,34,4499
71207,Air_India,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,16.0,8,12716
223724,Vistara,Delhi,Early_Morning,one,Morning,Chennai,Business,6.08,30,65944
33295,Air_India,Delhi,Night,one,Night,Hyderabad,Economy,23.0,35,5950
130216,GO_FIRST,Kolkata,Afternoon,one,Night,Mumbai,Economy,7.58,19,5888
179900,Vistara,Hyderabad,Afternoon,one,Night,Chennai,Economy,9.67,42,7702
248805,Vistara,Bangalore,Evening,zero,Night,Mumbai,Business,1.92,4,20760
41541,Vistara,Delhi,Early_Morning,one,Evening,Chennai,Economy,12.42,40,5622
192555,Vistara,Chennai,Early_Morning,one,Evening,Mumbai,Economy,12.17,39,5037
200443,Vistara,Chennai,Afternoon,one,Evening,Kolkata,Economy,7.42,27,7081
126793,SpiceJet,Kolkata,Early_Morning,one,Evening,Delhi,Economy,10.67,45,6294
245577,Vistara,Bangalore,Early_Morning,one,Night,Delhi,Business,14.0,11,57081
262149,Air_India,Kolkata,Evening,one,Morning,Delhi,Business,14.0,17,43910
228006,Vistara,Mumbai,Evening,zero,Night,Delhi,Business,2.17,31,36700
265013,Vistara,Kolkata,Evening,one,Night,Mumbai,Business,26.83,16,81598
290430,Vistara,Chennai,Morning,one,Night,Mumbai,Business,12.08,3,78192
186751,SpiceJet,Chennai,Night,one,Night,Delhi,Economy,23.67,44,5100
115216,Indigo,Bangalore,Afternoon,one,Night,Hyderabad,Economy,7.67,47,1694
141234,Vistara,Kolkata,Evening,one,Morning,Bangalore,Economy,15.25,41,6195
188011,Vistara,Chennai,Morning,one,Night,Mumbai,Economy,13.08,6,11069
166164,Air_India,Hyderabad,Morning,one,Afternoon,Bangalore,Economy,3.92,9,4453
123016,Air_India,Kolkata,Morning,one,Night,Delhi,Economy,11.58,23,6339
259208,Vistara,Bangalore,Early_Morning,one,Evening,Chennai,Business,13.25,8,44280
247998,Vistara,Bangalore,Morning,one,Evening,Delhi,Business,7.42,41,54841
98929,SpiceJet,Bangalore,Early_Morning,one,Early_Morning,Mumbai,Economy,24.92,29,3450
299873,Vistara,Chennai,Night,one,Evening,Hyderabad,Business,22.83,43,51457
146512,Indigo,Kolkata,Evening,one,Late_Night,Hyderabad,Economy,7.92,36,6725
68938,Indigo,Mumbai,Evening,one,Late_Night,Kolkata,Economy,6.67,42,5125
283785,Air_India,Hyderabad,Morning,one,Afternoon,Kolkata,Business,25.17,19,51707
146279,Vistara,Kolkata,Morning,two_or_more,Night,Hyderabad,Economy,10.5,34,7455
117600,Vistara,Bangalore,Night,one,Morning,Chennai,Economy,12.75,26,6161
229618,Air_India,Mumbai,Evening,one,Night,Delhi,Business,25.42,46,39610
183327,Air_India,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,5.92,23,3916
76508,Indigo,Mumbai,Morning,one,Evening,Hyderabad,Economy,8.67,44,3220
280693,Vistara,Hyderabad,Afternoon,one,Morning,Bangalore,Business,21.83,10,38099
209284,Air_India,Delhi,Night,one,Night,Mumbai,Business,23.83,25,59033
167657,Air_India,Hyderabad,Night,zero,Night,Bangalore,Economy,1.5,23,2091
175005,AirAsia,Hyderabad,Night,two_or_more,Early_Morning,Kolkata,Economy,10.25,39,2056
281989,Vistara,Hyderabad,Night,one,Morning,Bangalore,Business,12.08,32,56702
224442,Vistara,Delhi,Afternoon,zero,Evening,Chennai,Business,2.83,42,27864
143342,Indigo,Kolkata,Evening,one,Night,Hyderabad,Economy,5.67,10,8589
235725,Vistara,Mumbai,Morning,one,Night,Kolkata,Business,14.0,21,64285
41198,Vistara,Delhi,Afternoon,two_or_more,Morning,Chennai,Economy,19.5,38,8423
52115,Air_India,Mumbai,Early_Morning,one,Night,Delhi,Economy,17.67,46,4149
292924,Air_India,Chennai,Night,one,Morning,Mumbai,Business,13.83,41,61649
23563,Air_India,Delhi,Evening,one,Morning,Kolkata,Economy,15.0,21,5276
90801,GO_FIRST,Bangalore,Early_Morning,zero,Morning,Delhi,Economy,2.83,34,4500
133712,Air_India,Kolkata,Evening,one,Morning,Mumbai,Economy,14.67,39,4169
298164,Vistara,Chennai,Early_Morning,one,Afternoon,Hyderabad,Business,5.25,5,41064
188794,Vistara,Chennai,Night,one,Afternoon,Mumbai,Economy,16.92,12,11069
244212,Vistara,Mumbai,Morning,two_or_more,Night,Chennai,Business,9.5,39,75317
187436,Indigo,Chennai,Evening,one,Late_Night,Delhi,Economy,5.92,49,3361
14365,Indigo,Delhi,Late_Night,zero,Early_Morning,Bangalore,Economy,2.92,23,4500
45385,Air_India,Mumbai,Morning,one,Night,Delhi,Economy,11.08,14,12978
2993,GO_FIRST,Delhi,Evening,one,Night,Mumbai,Economy,4.75,17,4168
118252,Air_India,Bangalore,Night,one,Afternoon,Chennai,Economy,15.67,33,6444
236357,Air_India,Mumbai,Early_Morning,one,Evening,Kolkata,Business,12.17,29,49725
178760,Indigo,Hyderabad,Early_Morning,one,Morning,Chennai,Economy,5.25,30,5220
81185,Air_India,Mumbai,Afternoon,one,Afternoon,Chennai,Economy,21.08,29,5152
22569,GO_FIRST,Delhi,Early_Morning,zero,Early_Morning,Kolkata,Economy,2.17,16,3999
184915,Air_India,Chennai,Morning,one,Evening,Delhi,Economy,10.0,33,3234
41676,Vistara,Delhi,Evening,one,Morning,Chennai,Economy,13.0,41,4979
145629,Vistara,Kolkata,Early_Morning,one,Evening,Hyderabad,Economy,9.83,29,5760
231100,Vistara,Mumbai,Afternoon,one,Night,Bangalore,Business,6.92,14,74880
224188,Vistara,Delhi,Early_Morning,zero,Morning,Chennai,Business,2.75,38,40296
68254,Air_India,Mumbai,Early_Morning,one,Morning,Kolkata,Economy,24.08,38,6601
264379,Vistara,Kolkata,Night,one,Early_Morning,Mumbai,Business,11.5,8,62591
107394,GO_FIRST,Bangalore,Night,one,Early_Morning,Kolkata,Economy,8.25,34,5902
125871,GO_FIRST,Kolkata,Afternoon,zero,Evening,Delhi,Economy,2.58,40,3999
204565,AirAsia,Chennai,Night,one,Morning,Hyderabad,Economy,10.75,25,1550
238980,Vistara,Mumbai,Night,one,Morning,Hyderabad,Business,11.75,15,66077
190654,AirAsia,Chennai,Evening,one,Late_Night,Mumbai,Economy,8.5,26,1830
109210,Air_India,Bangalore,Afternoon,one,Morning,Kolkata,Economy,19.67,46,7004
59308,Air_India,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13.08,37,6502
5497,Air_India,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,28,6181
36731,Air_India,Delhi,Evening,one,Early_Morning,Chennai,Economy,13.5,12,11520
105198,Air_India,Bangalore,Morning,one,Night,Kolkata,Economy,11.92,19,7529
296531,Air_India,Chennai,Morning,one,Morning,Kolkata,Business,23.08,15,55377
155700,Vistara,Hyderabad,Early_Morning,one,Night,Delhi,Economy,13.92,28,5823
183984,SpiceJet,Chennai,Night,one,Afternoon,Delhi,Economy,14.83,27,4048
76236,Vistara,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,13.92,42,4099
50173,Air_India,Mumbai,Morning,one,Morning,Delhi,Economy,21.33,37,3762
4820,GO_FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,7.5,25,5806
48074,Vistara,Mumbai,Afternoon,one,Evening,Delhi,Economy,27.5,27,4894
78706,Air_India,Mumbai,Afternoon,one,Morning,Chennai,Economy,16.92,12,9201
22544,SpiceJet,Delhi,Morning,one,Evening,Kolkata,Economy,8.0,15,10718
248207,Air_India,Bangalore,Early_Morning,one,Night,Delhi,Business,13.67,44,42521
58456,GO_FIRST,Mumbai,Night,zero,Night,Bangalore,Economy,1.75,33,2124
150814,SpiceJet,Kolkata,Night,one,Early_Morning,Chennai,Economy,11.42,31,4913
121785,Vistara,Kolkata,Night,one,Evening,Delhi,Economy,21.5,16,6461
45802,Vistara,Mumbai,Morning,one,Afternoon,Delhi,Economy,4.92,16,9750
203938,Vistara,Chennai,Night,one,Evening,Hyderabad,Economy,19.92,17,4821
165259,Air_India,Hyderabad,Early_Morning,one,Night,Mumbai,Economy,14.92,47,4363
244366,Vistara,Mumbai,Evening,zero,Evening,Chennai,Business,2.08,42,23898
213530,Air_India,Delhi,Evening,one,Evening,Bangalore,Business,24.67,21,42457
250250,Air_India,Bangalore,Night,one,Evening,Mumbai,Business,23.0,20,54684
120649,Indigo,Kolkata,Morning,one,Evening,Delhi,Economy,7.67,9,9419
285959,Air_India,Hyderabad,Night,one,Early_Morning,Chennai,Business,9.08,16,40843
297718,Vistara,Chennai,Evening,one,Evening,Kolkata,Business,26.42,41,57057
155873,GO_FIRST,Hyderabad,Morning,one,Evening,Delhi,Economy,9.0,29,6132
279189,Air_India,Hyderabad,Night,one,Evening,Mumbai,Business,23.17,32,45883
145926,Air_India,Kolkata,Night,one,Evening,Hyderabad,Economy,21.08,31,8614
131705,Air_India,Kolkata,Night,one,Evening,Mumbai,Economy,19.92,27,8478
25977,GO_FIRST,Delhi,Afternoon,one,Night,Kolkata,Economy,9.25,34,6395
240005,Vistara,Mumbai,Night,one,Evening,Hyderabad,Business,23.0,29,58125
141113,GO_FIRST,Kolkata,Evening,one,Night,Bangalore,Economy,6.98,40,6714
214413,Vistara,Delhi,Morning,one,Night,Bangalore,Business,14.0,31,57017
103810,Vistara,Bangalore,Morning,one,Morning,Kolkata,Economy,22.83,10,11205
106315,GO_FIRST,Bangalore,Early_Morning,one,Afternoon,Kolkata,Economy,5.0,27,3943
186238,Vistara,Chennai,Night,one,Morning,Delhi,Economy,11.58,41,4971
121859,Air_India,Kolkata,Evening,one,Afternoon,Delhi,Economy,18.75,16,7684
266067,Vistara,Kolkata,Early_Morning,one,Evening,Mumbai,Business,9.33,31,68303
12284,Vistara,Delhi,Night,one,Morning,Bangalore,Economy,12.25,14,7163
225313,Air_India,Mumbai,Early_Morning,one,Afternoon,Delhi,Business,7.67,5,50957
228592,Vistara,Mumbai,Evening,one,Night,Delhi,Business,6.25,36,53152
237060,Vistara,Mumbai,Evening,one,Morning,Kolkata,Business,16.0,38,57565
238046,Air_India,Mumbai,Night,one,Night,Hyderabad,Business,24.33,2,57588
138558,Air_India,Kolkata,Afternoon,one,Morning,Bangalore,Economy,17.42,23,7579
225525,Air_India,Mumbai,Early_Morning,one,Afternoon,Delhi,Business,7.67,7,50957
286522,Air_India,Hyderabad,Evening,one,Morning,Chennai,Business,16.67,27,51595
9740,Air_India,Delhi,Afternoon,one,Evening,Mumbai,Economy,27.5,48,5927
242712,Air_India,Mumbai,Early_Morning,one,Evening,Chennai,Business,12.0,19,49613
77775,Air_India,Mumbai,Afternoon,one,Evening,Chennai,Economy,27.42,5,9201
245701,Air_India,Bangalore,Early_Morning,one,Afternoon,Delhi,Business,5.5,13,42521
24413,Vistara,Delhi,Early_Morning,one,Evening,Kolkata,Economy,9.33,25,7431
242571,Air_India,Mumbai,Evening,one,Afternoon,Chennai,Business,17.67,17,49613
92061,Vistara,Bangalore,Morning,zero,Afternoon,Delhi,Economy,2.92,40,4502
15013,Vistara,Delhi,Morning,one,Night,Bangalore,Economy,12.5,26,4496
260153,Vistara,Bangalore,Early_Morning,one,Evening,Chennai,Business,8.33,28,60396
253492,Air_India,Bangalore,Morning,one,Night,Kolkata,Business,11.92,12,60508
36831,GO_FIRST,Delhi,Evening,one,Early_Morning,Chennai,Economy,12.83,13,7426
55331,Vistara,Mumbai,Morning,one,Night,Bangalore,Economy,10.0,16,6450
225007,Air_India,Mumbai,Early_Morning,zero,Morning,Delhi,Business,2.25,2,25600
64954,Vistara,Mumbai,Afternoon,zero,Evening,Kolkata,Economy,2.83,21,5812
195947,Vistara,Chennai,Afternoon,one,Morning,Bangalore,Economy,20.33,28,7240
231238,Air_India,Mumbai,Afternoon,one,Morning,Bangalore,Business,17.33,16,54608
262752,Vistara,Kolkata,Night,one,Morning,Delhi,Business,14.42,27,68303
180803,Air_India,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,5.92,5,11448
11058,Air_India,Delhi,Afternoon,one,Late_Night,Bangalore,Economy,13.67,7,11520
204007,Indigo,Chennai,Morning,zero,Afternoon,Hyderabad,Economy,1.33,18,1551
44613,Air_India,Mumbai,Early_Morning,zero,Morning,Delhi,Economy,2.17,11,5943
134707,GO_FIRST,Kolkata,Evening,one,Late_Night,Mumbai,Economy,9.58,44,5853
143970,Air_India,Kolkata,Early_Morning,one,Morning,Hyderabad,Economy,26.75,15,11007
65004,Vistara,Mumbai,Evening,one,Evening,Kolkata,Economy,25.08,21,5949
238808,Vistara,Mumbai,Morning,one,Evening,Hyderabad,Business,9.5,13,58125
188174,Air_India,Chennai,Early_Morning,one,Evening,Mumbai,Economy,11.67,7,17226
170268,Indigo,Hyderabad,Early_Morning,zero,Early_Morning,Bangalore,Economy,1.17,46,1776
117357,Vistara,Bangalore,Morning,one,Night,Chennai,Economy,11.58,23,10049
136908,Vistara,Kolkata,Night,one,Morning,Bangalore,Economy,12.25,12,11675
257182,Vistara,Bangalore,Evening,one,Afternoon,Hyderabad,Business,17.75,21,56588
90754,Indigo,Bangalore,Early_Morning,one,Evening,Delhi,Economy,10.0,34,4071
222892,Vistara,Delhi,Early_Morning,two_or_more,Evening,Chennai,Business,12.42,17,99577
41159,SpiceJet,Delhi,Early_Morning,one,Early_Morning,Chennai,Economy,24.67,38,5107
268868,Vistara,Kolkata,Early_Morning,one,Evening,Bangalore,Business,9.83,27,60978
4200,Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.5,22,7575
137983,Vistara,Kolkata,Night,one,Evening,Bangalore,Economy,20.58,19,8111
91686,SpiceJet,Bangalore,Afternoon,one,Evening,Delhi,Economy,26.5,38,9849
287275,Air_India,Hyderabad,Early_Morning,one,Night,Chennai,Business,17.08,42,51595
251468,Vistara,Bangalore,Morning,one,Night,Mumbai,Business,11.33,34,54684
9857,Indigo,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.75,49,3553
220371,Air_India,Delhi,Early_Morning,one,Night,Hyderabad,Business,14.58,24,39321
175085,Vistara,Hyderabad,Early_Morning,one,Morning,Kolkata,Economy,26.75,39,5960
267659,Vistara,Kolkata,Evening,one,Night,Bangalore,Business,5.25,8,52287
295240,Vistara,Chennai,Night,one,Afternoon,Bangalore,Business,19.5,36,63226
206760,Vistara,Delhi,Morning,one,Night,Mumbai,Business,11.17,2,57868
154028,Vistara,Hyderabad,Morning,one,Night,Delhi,Economy,14.5,15,10018
95472,GO_FIRST,Bangalore,Early_Morning,zero,Early_Morning,Mumbai,Economy,1.58,11,5177
198825,Indigo,Chennai,Morning,one,Evening,Kolkata,Economy,7.42,13,5499
96665,GO_FIRST,Bangalore,Early_Morning,one,Afternoon,Mumbai,Economy,8.25,17,5177
80006,Air_India,Mumbai,Afternoon,one,Evening,Chennai,Economy,27.0,21,4417
64866,GO_FIRST,Mumbai,Night,one,Morning,Kolkata,Economy,10.0,20,7304
20068,SpiceJet,Delhi,Evening,zero,Evening,Bangalore,Economy,3.17,49,4500
223336,Air_India,Delhi,Evening,zero,Evening,Chennai,Business,2.75,25,27864
108210,Vistara,Bangalore,Morning,two_or_more,Morning,Kolkata,Economy,22.08,39,9017
170599,Air_India,Hyderabad,Early_Morning,one,Evening,Bangalore,Economy,9.58,48,6314
156948,Air_India,Hyderabad,Night,one,Morning,Delhi,Economy,12.17,37,6128
299137,Vistara,Chennai,Early_Morning,one,Evening,Hyderabad,Business,13.0,28,51457
31819,Vistara,Delhi,Afternoon,one,Night,Hyderabad,Economy,6.67,25,5761
105141,GO_FIRST,Bangalore,Morning,one,Night,Kolkata,Economy,15.42,19,5177
10679,Vistara,Delhi,Morning,one,Night,Bangalore,Economy,11.17,5,10680
284288,Vistara,Hyderabad,Morning,one,Morning,Kolkata,Business,25.17,29,48851
126040,AirAsia,Kolkata,Night,zero,Late_Night,Delhi,Economy,2.5,41,3999
63520,Air_India,Mumbai,Early_Morning,one,Night,Kolkata,Economy,14.33,13,11508
118961,Vistara,Bangalore,Early_Morning,one,Evening,Chennai,Economy,9.33,41,6510
97838,GO_FIRST,Bangalore,Evening,one,Early_Morning,Mumbai,Economy,11.75,23,5177
147431,Air_India,Kolkata,Night,one,Morning,Hyderabad,Economy,12.5,44,4724
38229,Vistara,Delhi,Evening,one,Morning,Chennai,Economy,16.0,21,5098
33401,Vistara,Delhi,Evening,one,Night,Hyderabad,Economy,25.08,36,5761
43355,Air_India,Mumbai,Night,one,Night,Delhi,Economy,24.0,3,16968
235854,Air_India,Mumbai,Morning,one,Night,Kolkata,Business,12.33,23,49725
157913,Indigo,Hyderabad,Early_Morning,zero,Early_Morning,Delhi,Economy,2.25,45,2278
66199,Indigo,Mumbai,Early_Morning,one,Morning,Kolkata,Economy,5.83,27,7594
247939,Vistara,Bangalore,Night,zero,Night,Delhi,Business,2.58,41,32923
145430,Indigo,Kolkata,Evening,one,Night,Hyderabad,Economy,5.5,27,6489
270847,Air_India,Kolkata,Afternoon,two_or_more,Morning,Hyderabad,Business,21.5,14,56435
89818,Vistara,Bangalore,Early_Morning,one,Afternoon,Delhi,Economy,7.42,30,4111
62570,Vistara,Mumbai,Morning,one,Evening,Kolkata,Economy,10.83,8,11129
549,Air_India,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.0,4,15825
265885,Air_India,Kolkata,Evening,one,Morning,Mumbai,Business,14.67,29,37526
272407,Vistara,Kolkata,Night,one,Afternoon,Hyderabad,Business,15.67,46,49207
192554,Vistara,Chennai,Morning,one,Night,Mumbai,Economy,10.5,39,5037
105355,Vistara,Bangalore,Early_Morning,one,Evening,Kolkata,Economy,11.58,20,8112
75034,Air_India,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,12.25,34,4173
7995,Air_India,Delhi,Night,one,Morning,Mumbai,Economy,11.42,40,3855
37917,Vistara,Delhi,Evening,one,Morning,Chennai,Economy,16.83,19,5742
299810,Vistara,Chennai,Morning,one,Early_Morning,Hyderabad,Business,22.08,42,41064
228961,Vistara,Mumbai,Early_Morning,zero,Morning,Delhi,Business,2.17,40,36700
259136,Vistara,Bangalore,Evening,one,Morning,Chennai,Business,12.92,6,44280
258828,Air_India,Bangalore,Evening,one,Night,Hyderabad,Business,25.58,47,37929
274305,Air_India,Kolkata,Afternoon,one,Afternoon,Chennai,Business,23.17,39,55983
226815,Air_India,Mumbai,Evening,one,Afternoon,Delhi,Business,20.58,20,29764
26848,Air_India,Delhi,Evening,one,Evening,Kolkata,Economy,27.42,39,4559
63314,Vistara,Mumbai,Night,one,Evening,Kolkata,Economy,21.67,12,11129
140001,AirAsia,Kolkata,Early_Morning,one,Morning,Bangalore,Economy,5.83,33,3862
19942,Indigo,Delhi,Evening,one,Late_Night,Bangalore,Economy,8.58,49,3587
172525,Vistara,Hyderabad,Morning,one,Evening,Kolkata,Economy,9.25,18,6170
199299,Air_India,Chennai,Early_Morning,one,Morning,Kolkata,Economy,26.83,17,6569
130682,Air_India,Kolkata,Night,one,Morning,Mumbai,Economy,13.67,22,5102
124243,Vistara,Kolkata,Morning,one,Evening,Delhi,Economy,6.5,30,6723
10976,Vistara,Delhi,Afternoon,one,Evening,Bangalore,Economy,4.75,7,9840
106387,Air_India,Bangalore,Afternoon,one,Evening,Kolkata,Economy,5.83,27,6583
266220,Vistara,Kolkata,Early_Morning,one,Night,Mumbai,Business,12.92,33,64831
250785,Air_India,Bangalore,Night,one,Evening,Mumbai,Business,21.0,26,54684
46705,AirAsia,Mumbai,Night,one,Morning,Delhi,Economy,11.33,21,2336
38380,Vistara,Delhi,Afternoon,one,Night,Chennai,Economy,10.25,22,4979
182587,Vistara,Chennai,Early_Morning,one,Night,Delhi,Economy,13.67,18,4971
48926,Vistara,Mumbai,Evening,one,Night,Delhi,Economy,6.08,31,4810
65882,Air_India,Mumbai,Night,one,Evening,Kolkata,Economy,21.67,26,4556
290096,Vistara,Chennai,Early_Morning,one,Afternoon,Delhi,Business,7.08,45,57920
127857,Vistara,Kolkata,Morning,one,Night,Mumbai,Economy,11.0,4,14889
18400,GO_FIRST,Delhi,Morning,one,Afternoon,Bangalore,Economy,4.33,41,15010
190003,Vistara,Chennai,Early_Morning,one,Night,Mumbai,Economy,15.08,21,4637
136221,Vistara,Kolkata,Night,one,Night,Bangalore,Economy,24.0,7,11675
273686,Vistara,Kolkata,Morning,one,Morning,Chennai,Business,25.42,26,55502
48679,Indigo,Mumbai,Morning,zero,Afternoon,Delhi,Economy,2.17,30,3108
92150,AirAsia,Bangalore,Early_Morning,one,Evening,Delhi,Economy,9.17,41,2723
194322,Vistara,Chennai,Afternoon,one,Evening,Bangalore,Economy,6.75,9,11650
236029,Air_India,Mumbai,Night,one,Afternoon,Kolkata,Business,17.0,25,49725
205728,Vistara,Chennai,Night,one,Morning,Hyderabad,Economy,12.58,38,12408
107291,Air_India,Bangalore,Early_Morning,one,Night,Kolkata,Economy,16.58,33,7529
62055,SpiceJet,Mumbai,Afternoon,one,Evening,Kolkata,Economy,27.92,5,7728
